ping_ms,download_mbps,upload_mbps,organization,server_ip,sponsor,city,browser,iteration,time,platform,Location,Scenario,subnet_15,client_ip_operator
16.0,126.14,22.56,iCloud Private Relay,172.226.77.33,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,500.19,22.77,iCloud Private Relay,172.226.77.40,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,453.82,22.09,iCloud Private Relay,104.28.72.32,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
19.0,502.46,23.27,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,146.93,22.66,iCloud Private Relay,172.226.77.41,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
20.0,145.29,21.82,iCloud Private Relay,172.226.77.36,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,507.97,23.33,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,191.1,22.24,iCloud Private Relay,172.226.77.36,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,507.74,23.0,Spectrum,76.83.153.13,Pacific Wave,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,174.64,22.82,iCloud Private Relay,172.226.77.40,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,514.95,23.28,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
19.0,487.95,22.57,iCloud Private Relay,172.226.77.40,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,473.81,22.1,iCloud Private Relay,104.28.72.32,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
17.0,493.29,23.19,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
18.0,165.48,22.66,iCloud Private Relay,172.226.77.41,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
19.0,467.32,22.43,iCloud Private Relay,104.28.72.32,Pacific Wave,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
17.0,436.76,22.89,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,134.34,22.49,iCloud Private Relay,172.226.77.41,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,502.46,22.43,iCloud Private Relay,172.226.77.40,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,515.84,23.2,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
17.0,502.95,23.36,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,200.42,22.65,iCloud Private Relay,172.226.77.36,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,183.74,22.88,iCloud Private Relay,172.226.77.36,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,488.1,23.13,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
19.0,511.13,23.21,Spectrum,76.83.153.13,Servpac Inc.,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
