ping_ms,download_mbps,upload_mbps,organization,server_ip,sponsor,city,browser,iteration,time,platform,Location,Scenario,subnet_15,client_ip_operator
16.0,168.31,22.64,iCloud Private Relay,172.226.77.40,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
16.0,203.32,22.71,iCloud Private Relay,172.226.77.36,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,178.44,22.73,iCloud Private Relay,172.226.77.36,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
22.0,445.04,22.87,Spectrum,76.83.153.13,HIDOD,"Honolulu, HI",,,,,US,Native,76.80.0.0/14,Other
20.0,162.4,22.66,iCloud Private Relay,172.226.77.36,HIDOD,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,485.93,22.73,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
16.0,136.49,22.56,iCloud Private Relay,172.226.77.33,Hawaiian Telcom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,290.69,22.5,iCloud Private Relay,104.28.72.32,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,104.28.0.0/14,CloudFlare
16.0,456.46,22.56,iCloud Private Relay,172.226.77.40,Hawaii Dialogix Telecom,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
15.0,40.54,14.86,iCloud Private Relay,172.226.76.182,Pacific Wave,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
17.0,152.85,22.69,iCloud Private Relay,172.226.77.37,Servpac Inc.,"Honolulu, HI",,,,,US,PR,172.224.0.0/14,Akamai
18.0,527.2,23.34,Spectrum,76.83.153.13,Spectrum,"Mililani, HI",,,,,US,Native,76.80.0.0/14,Other
